UID;Molecular Formula
774;C$_{138}$H$_{30}$-
799;C$_{97}$H$_{26}$
800;C$_{97}$H$_{26}$
801;C$_{98}$H$_{26}$
802;C$_{99}$H$_{28}$
803;C$_{100}$H$_{28}$
804;C$_{101}$H$_{30}$
805;C$_{102}$H$_{30}$
806;C$_{56}$H$_{20}$
807;C$_{56}$H$_{20}$
808;C$_{57}$H$_{22}$
809;C$_{58}$H$_{22}$
810;C$_{59}$H$_{24}$
811;C$_{60}$H$_{24}$
812;C$_{60}$H$_{24}$
813;C$_{28}$H$_{16}$-
814;C$_{26}$H$_{16}$
816;C$_{26}$H$_{16}$-
817;C$_{30}$H$_{18}$
819;C$_{30}$H$_{18}$-
820;C$_{34}$H$_{20}$
822;C$_{34}$H$_{20}$-
823;C$_{54}$H$_{20}$
826;C$_{53}$H$_{16}$
828;C$_{54}$H$_{18}$
829;C$_{20}$H$_{12}$
830;C$_{17}$H$_{11}$N
831;C$_{17}$H$_{11}$N
832;C$_{22}$H$_{14}$
833;C$_{21}$H$_{13}$N
834;C$_{52}$H$_{18}$
835;C$_{52}$H$_{17}$
836;C$_{54}$H$_{18}$
837;C$_{34}$H$_{20}$
838;C$_{34}$H$_{20}$
839;C$_{34}$H$_{20}$
840;C$_{34}$H$_{20}$
841;C$_{34}$H$_{20}$
842;C$_{34}$H$_{20}$
843;C$_{34}$H$_{20}$
844;C$_{34}$H$_{20}$
845;C$_{34}$H$_{20}$
846;C$_{34}$H$_{20}$
847;C$_{34}$H$_{20}$
848;C$_{34}$H$_{20}$
849;C$_{34}$H$_{20}$
850;C$_{34}$H$_{20}$
851;C$_{34}$H$_{20}$
852;C$_{34}$H$_{20}$
853;C$_{34}$H$_{20}$
854;C$_{34}$H$_{20}$
855;C$_{34}$H$_{20}$
856;C$_{34}$H$_{20}$
857;C$_{34}$H$_{20}$
858;C$_{34}$H$_{20}$
859;C$_{34}$H$_{20}$
860;C$_{34}$H$_{20}$
861;C$_{34}$H$_{20}$
862;C$_{34}$H$_{20}$
863;C$_{34}$H$_{20}$
864;C$_{34}$H$_{20}$
865;C$_{34}$H$_{20}$
866;C$_{34}$H$_{20}$
867;C$_{34}$H$_{20}$
868;C$_{34}$H$_{20}$
869;C$_{34}$H$_{20}$
870;C$_{34}$H$_{20}$
871;C$_{34}$H$_{20}$
872;C$_{34}$H$_{20}$
873;C$_{34}$H$_{20}$
874;C$_{34}$H$_{20}$
875;C$_{34}$H$_{20}$
876;C$_{34}$H$_{20}$
877;C$_{34}$H$_{20}$
878;C$_{34}$H$_{20}$
879;C$_{34}$H$_{20}$
880;C$_{34}$H$_{20}$
881;C$_{34}$H$_{20}$
882;C$_{34}$H$_{20}$
883;C$_{34}$H$_{20}$
884;C$_{34}$H$_{20}$
885;C$_{34}$H$_{20}$
886;C$_{34}$H$_{20}$
887;C$_{34}$H$_{20}$
888;C$_{34}$H$_{20}$
889;C$_{34}$H$_{20}$
890;C$_{34}$H$_{20}$
891;C$_{34}$H$_{20}$
892;C$_{34}$H$_{20}$
893;C$_{34}$H$_{20}$
894;C$_{34}$H$_{20}$
895;C$_{34}$H$_{20}$
896;C$_{34}$H$_{20}$
897;C$_{34}$H$_{20}$
898;C$_{34}$H$_{20}$
899;C$_{34}$H$_{20}$
900;C$_{34}$H$_{20}$
901;C$_{34}$H$_{20}$
902;C$_{34}$H$_{20}$
903;C$_{34}$H$_{20}$
904;C$_{34}$H$_{20}$
905;C$_{34}$H$_{20}$
906;C$_{34}$H$_{20}$
907;C$_{34}$H$_{20}$
908;C$_{34}$H$_{20}$
909;C$_{34}$H$_{20}$
910;C$_{34}$H$_{20}$
911;C$_{34}$H$_{20}$
912;C$_{34}$H$_{20}$
913;C$_{34}$H$_{20}$
914;C$_{34}$H$_{20}$
915;C$_{34}$H$_{20}$
916;C$_{34}$H$_{20}$
917;C$_{34}$H$_{20}$
918;C$_{34}$H$_{20}$
919;C$_{34}$H$_{20}$
920;C$_{34}$H$_{20}$
921;C$_{34}$H$_{20}$
922;C$_{34}$H$_{20}$
923;C$_{34}$H$_{20}$
924;C$_{34}$H$_{20}$
925;C$_{34}$H$_{20}$
926;C$_{34}$H$_{20}$
927;C$_{34}$H$_{20}$
928;C$_{34}$H$_{20}$
929;C$_{34}$H$_{20}$
930;C$_{34}$H$_{20}$
931;C$_{34}$H$_{20}$
932;C$_{34}$H$_{20}$
933;C$_{34}$H$_{20}$
934;C$_{34}$H$_{20}$
935;C$_{34}$H$_{20}$
936;C$_{34}$H$_{20}$
937;C$_{34}$H$_{20}$
938;C$_{34}$H$_{20}$
939;C$_{34}$H$_{20}$
940;C$_{34}$H$_{20}$
941;C$_{34}$H$_{20}$
942;C$_{34}$H$_{20}$
943;C$_{34}$H$_{20}$
944;C$_{34}$H$_{20}$
945;C$_{34}$H$_{20}$
946;C$_{34}$H$_{20}$
947;C$_{34}$H$_{20}$
948;C$_{34}$H$_{20}$
949;C$_{34}$H$_{20}$
950;C$_{34}$H$_{20}$
951;C$_{34}$H$_{20}$
952;C$_{34}$H$_{20}$
953;C$_{34}$H$_{20}$
954;C$_{34}$H$_{20}$
955;C$_{34}$H$_{20}$
956;C$_{34}$H$_{20}$
957;C$_{34}$H$_{20}$
958;C$_{34}$H$_{20}$
959;C$_{34}$H$_{20}$
960;C$_{34}$H$_{20}$
961;C$_{34}$H$_{20}$
962;C$_{34}$H$_{20}$
963;C$_{34}$H$_{20}$
964;C$_{34}$H$_{20}$
965;C$_{34}$H$_{20}$
966;C$_{34}$H$_{20}$
